text,hate_speech
Avión venezolano ocho tripulante coincidir vuelo Paraguay Argentina,0
aquí consejo amigo veneco sobrevivir socialismo,0
Cínicos desinformar guión preparado ecena novela Venezolana izaterroristacorreafinancista,0
no chamar dime,0
Gobierno Bélgica albergar Rafael Correa refugiado ser corresponsable acto actual crisis social Ecuador millón querer PAZ reparación económico argumentaremos exigiremos petición,0
persona haber tener condición Refugiadas decir MiCasaEsTuCasa hoy día mundial persona conmemoramos Lucha esfuerzo vida digno únetir aquí filtro díadelrefugiado,0
ser pasar dejar auténtico indocumentado cargo patrimonio hermandad más importante Sevilla destrozar manto encima presumen,0
repudiamos acto vandalico responsabilizamos Bélgica refugiado no respetar cumplir ley internacional asistir negociación paz velar bien ecuatoriano reparación económico inmediato,0
Buenas noches Dije ilegal no irregular no tener documento indocumentado estar país no existir legalidad estadía,0
decir dos venezolana Miami así pensar principio mirar terminar llorar joya tener vender regalar poder salir infierno,0
dar órden país veneco,1
grupo alumno haber recaudar donación favor proyecto atención persona refugiado Ucrania llevar cabo inicio conflicto,0
Na comunidá valenciano runrún asunto sórdido menor tutelado leer década soar no ambientar chamar atención rompesir rompeu,0
ser venezolano chavista vivir Venezuela apoyar socialismo deber ser acto maldad más grande existir,0
AFIDRO Profamilia unir prestar servicio salud sexual reproductivo población migrante refugiado Buenaventura,0
Venezuela regalar,0
díamundialdelosrefugiados ser ocasión fomentar comprensión empatía persona refugiado desplazado consideración difícil circunstancia encontrar,0
ahí no derechos humanos ser solo venezolana quemar patrullero,1
conflicto Ucrania visibilizar doble rasero hora proteger persona refugiado Estado español,0
Gobierno Bélgica albergar Rafael Correa refugiado ser corresponsable acto actual crisis social Ecuador millón querer PAZ reparación económico argumentaremos exigiremos petición,0
asesino chamo prrotestar Maduro,0
Acto seguido aumentar flujo persona venezolano Colombia llegar grupo gente necesitado principalmente delincuente Historia ya vivido Ecuador penar Colombia no aprender experiencia,1
Migración cifra Agencia ONU Refugiados ACNUR menos ucraniano haber huir país partir principalmente nación europeo,0
Gracias único verdadero opositor venezolano,0
