modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion,cv_accuracy,cv_precision,cv_recall
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5022026431718062, 'recall': 0.57, 'f1-score': 0.5339578454332553, 'support': 200.0}, 'No': {'precision': 0.8181818181818182, 'recall': 0.774, 'f1-score': 0.7954779033915724, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6601922306768122, 'recall': 0.6719999999999999, 'f1-score': 0.6647178744124138, 'support': 700.0}, 'weighted avg': {'precision': 0.7279020538932435, 'recall': 0.7157142857142857, 'f1-score': 0.7207578868320533, 'support': 700.0}}",0.7157142857142857,0.6647178744124138,0.6601922306768122,0.6719999999999999,0.7207578868320533,[0.58382128 0.55985546 0.5993985  0.57512074 0.58013313],0.5796658216918361,0.01280603469103791,0.7123809523809524,0.6231168819092249,0.5775371311315224
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5153061224489796, 'recall': 0.505, 'f1-score': 0.51010101010101, 'support': 200.0}, 'No': {'precision': 0.8035714285714286, 'recall': 0.81, 'f1-score': 0.8067729083665338, 'support': 500.0}, 'accuracy': 0.7228571428571429, 'macro avg': {'precision': 0.659438775510204, 'recall': 0.6575, 'f1-score': 0.658436959233772, 'support': 700.0}, 'weighted avg': {'precision': 0.7212099125364431, 'recall': 0.7228571428571429, 'f1-score': 0.7220095088620985, 'support': 700.0}}",0.7228571428571429,0.658436959233772,0.659438775510204,0.6575,0.7220095088620985,[0.45619733 0.4850112  0.47092454 0.44280029 0.47092454],0.4651715788506892,0.01442785956738006,0.7214285714285714,0.6855389307833925,0.5199100058628102
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5133689839572193, 'recall': 0.48, 'f1-score': 0.49612403100775193, 'support': 200.0}, 'No': {'precision': 0.797270955165692, 'recall': 0.818, 'f1-score': 0.807502467917078, 'support': 500.0}, 'accuracy': 0.7214285714285714, 'macro avg': {'precision': 0.6553199695614557, 'recall': 0.649, 'f1-score': 0.6518132494624149, 'support': 700.0}, 'weighted avg': {'precision': 0.7161561062489855, 'recall': 0.7214285714285714, 'f1-score': 0.7185372002286992, 'support': 700.0}}",0.7214285714285714,0.6518132494624149,0.6553199695614557,0.649,0.7185372002286992,[0.59636797 0.60598044 0.63232323 0.56496005 0.59870445],0.5996672300733273,0.021553058692405855,0.7261904761904763,0.6498133013562388,0.5942085857598853
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5025906735751295, 'recall': 0.485, 'f1-score': 0.49363867684478374, 'support': 200.0}, 'No': {'precision': 0.796844181459566, 'recall': 0.808, 'f1-score': 0.8023833167825224, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6497174275173478, 'recall': 0.6465000000000001, 'f1-score': 0.648010996813653, 'support': 700.0}, 'weighted avg': {'precision': 0.7127717506354413, 'recall': 0.7157142857142857, 'f1-score': 0.7141705625145971, 'support': 700.0}}",0.7157142857142857,0.648010996813653,0.6497174275173478,0.6465000000000001,0.7141705625145971,[0.58937929 0.65515456 0.66308943 0.56892373 0.60677249],0.6166639001484426,0.036764858975124444,0.6971428571428572,0.6224225074126917,0.6131204481792717
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.47368421052631576, 'recall': 0.54, 'f1-score': 0.5046728971962616, 'support': 200.0}, 'No': {'precision': 0.8050847457627118, 'recall': 0.76, 'f1-score': 0.7818930041152263, 'support': 500.0}, 'accuracy': 0.6971428571428572, 'macro avg': {'precision': 0.6393844781445138, 'recall': 0.65, 'f1-score': 0.643282950655744, 'support': 700.0}, 'weighted avg': {'precision': 0.710398878552313, 'recall': 0.6971428571428572, 'f1-score': 0.7026872592812364, 'support': 700.0}}",0.6971428571428572,0.643282950655744,0.6393844781445138,0.65,0.7026872592812364,[0.58140432 0.60454502 0.64157706 0.58197363 0.58368734],0.5986374749222433,0.02313818866452421,0.7166666666666668,0.6333629576804464,0.5930706794345644
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.4948453608247423, 'recall': 0.48, 'f1-score': 0.4873096446700508, 'support': 200.0}, 'No': {'precision': 0.7944664031620553, 'recall': 0.804, 'f1-score': 0.7992047713717694, 'support': 500.0}, 'accuracy': 0.7114285714285714, 'macro avg': {'precision': 0.6446558819933987, 'recall': 0.642, 'f1-score': 0.64325720802091, 'support': 700.0}, 'weighted avg': {'precision': 0.7088603910656801, 'recall': 0.7114285714285714, 'f1-score': 0.7100918780284212, 'support': 700.0}}",0.7114285714285714,0.64325720802091,0.6446558819933987,0.642,0.7100918780284212,[0.60598044 0.62931532 0.62105263 0.56141496 0.58013313],0.5995792962560126,0.025381016435846202,0.7280952380952381,0.6557115871036785,0.5940253403687057
naive_bayes,tfidf,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.45318352059925093, 'recall': 0.605, 'f1-score': 0.5182012847965739, 'support': 200.0}, 'No': {'precision': 0.8175519630484989, 'recall': 0.708, 'f1-score': 0.7588424437299035, 'support': 500.0}, 'accuracy': 0.6785714285714286, 'macro avg': {'precision': 0.6353677418238749, 'recall': 0.6565, 'f1-score': 0.6385218642632386, 'support': 700.0}, 'weighted avg': {'precision': 0.7134466937772852, 'recall': 0.6785714285714286, 'f1-score': 0.6900878268918094, 'support': 700.0}}",0.6785714285714286,0.6385218642632386,0.6353677418238749,0.6565,0.6900878268918094,[0.45125248 0.41666667 0.42375072 0.42551064 0.44381022],0.43219814503030757,0.013078351500668191,0.7180952380952381,0.6422927082383728,0.5065291186241938
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.48205128205128206, 'recall': 0.47, 'f1-score': 0.4759493670886076, 'support': 200.0}, 'No': {'precision': 0.7900990099009901, 'recall': 0.798, 'f1-score': 0.7940298507462686, 'support': 500.0}, 'accuracy': 0.7042857142857143, 'macro avg': {'precision': 0.6360751459761361, 'recall': 0.634, 'f1-score': 0.634989608917438, 'support': 700.0}, 'weighted avg': {'precision': 0.7020853733725021, 'recall': 0.7042857142857143, 'f1-score': 0.7031497125583654, 'support': 700.0}}",0.7042857142857143,0.634989608917438,0.6360751459761361,0.634,0.7031497125583654,[0.59629274 0.57125357 0.60014592 0.53946951 0.56868687],0.5751697215845475,0.021917394179018612,0.7290476190476192,0.6588286239431402,0.577077714806853
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.47317073170731705, 'recall': 0.485, 'f1-score': 0.47901234567901235, 'support': 200.0}, 'No': {'precision': 0.7919191919191919, 'recall': 0.784, 'f1-score': 0.7879396984924623, 'support': 500.0}, 'accuracy': 0.6985714285714286, 'macro avg': {'precision': 0.6325449618132545, 'recall': 0.6345000000000001, 'f1-score': 0.6334760220857373, 'support': 700.0}, 'weighted avg': {'precision': 0.7008482032872276, 'recall': 0.6985714285714286, 'f1-score': 0.6996747405457623, 'support': 700.0}}",0.6985714285714286,0.6334760220857373,0.6325449618132545,0.6345000000000001,0.6996747405457623,[0.59476554 0.63867381 0.65094851 0.56615204 0.58688525],0.6074850308596543,0.03211344459385711,0.689047619047619,0.6124597078177686,0.6044578529086053
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.48823529411764705, 'recall': 0.415, 'f1-score': 0.4486486486486487, 'support': 200.0}, 'No': {'precision': 0.779245283018868, 'recall': 0.826, 'f1-score': 0.8019417475728156, 'support': 500.0}, 'accuracy': 0.7085714285714285, 'macro avg': {'precision': 0.6337402885682575, 'recall': 0.6204999999999999, 'f1-score': 0.6252951981107321, 'support': 700.0}, 'weighted avg': {'precision': 0.6960995719042334, 'recall': 0.7085714285714285, 'f1-score': 0.7010008621659107, 'support': 700.0}}",0.7085714285714285,0.6252951981107321,0.6337402885682575,0.6204999999999999,0.7010008621659107,[0.55710045 0.47714286 0.51304348 0.49708906 0.53882852],0.5166408738369491,0.028581732048352022,0.722857142857143,0.6455190472484784,0.5425699954400366
