text,hate_speech
Avión venezolano ocho tripulantes coinciden vuelos Paraguay Argentina,0
Aquí pidiéndole consejos amigo veneco sobrevivir socialismo,0
Cínicos desinforman guión preparado ecena novela Venezolana IzaTerroristaCorreaFinancista,0
No chama dime,0
Gobierno Bélgica albergan Rafael Correa refugiado son corresponsables actos actual crisis social Ecuador millones queremos PAZ reparación económica argumentaremos exigiremos petición,0
personas han tenido moverse condición Refugiadas decimos MiCasaEsTuCasa Hoy día mundial personas conmemoramos Lucha esfuerzo vida digna Únete aquí filtro DíaDelRefugiado,0
es pasa dejas auténticos indocumentados cargo patrimonio hermandades más importantes Sevilla Destrozan manto encima presumen,0
Repudiamos actos vandalicos responsabilizamos Bélgica refugiado no respetar cumplir leyes internacionales asisten negociaciones paz velarán bien ecuatorianos reparación económica inmediata,0
Buenas noches Dije ilegal no irregular no tienes documentos indocumentado estar país no existe legalidad estadía,0
dijeron dos venezolanas Miami así pensaron principio mira terminó llorando joyas tuvo vender regalar poder salir infierno,0
Da órdenes país veneco,1
grupo alumnos ha recaudado donaciones favor proyectos atención personas refugiadas Ucrania llevamos cabo inicio conflicto,0
Na comunidá valenciana runrún asuntos sórdidos menores tutelados leva décadas soar no ambiente Chama atención rompese rompeu,0
Ser venezolano chavista vivir Venezuela apoyando socialismo debe ser acto maldad más grande existe,0
AFIDRO Profamilia unieron prestar servicios salud sexual reproductiva población migrante refugiada Buenaventura,0
Venezuela regalan,0
DíaMundialDeLosRefugiados es ocasión fomentar comprensión empatía personas refugiadas desplazadas consideración difíciles circunstancias encuentran,0
Ahí no derechos humanos es solo venezolana quemo patrullero,1
conflicto Ucrania visibiliza doble rasero hora proteger personas refugiadas Estado español,0
Gobierno Bélgica albergan Rafael Correa refugiado son corresponsables actos actual crisis social Ecuador millones queremos PAZ reparación económica argumentaremos exigiremos petición,0
asesinos chamos prrotestaban Maduro,0
Acto seguido aumentará flujo personas venezolanas Colombia llegará grupo gente necesitada principalmente delincuentes Historia ya vivida Ecuador pena Colombia no aprendió experiencia,1
Migración cifra Agencia ONU Refugiados ACNUR menos ucranianos han huido país partiendo principalmente naciones europeas,0
Gracias única verdadera opositora venezolana,0
Refugiado Universidad Salesiana Quito Gonzalo Ulcuando oriundo Cayambe Cangahua comenta recorrido ha debido realizar llegar capital razones sumarse,0
Es vergüenza está sucediendo Personas casi refugiadas tienen explicar reciben ayuda abrazo solidario,0
Media Latinoamérica ahora es izquierda Uruguay costa rica no estan llorando Honduras salvador gobiernos derecha presentan migración comparable venezolana,0
caga miedo refugiado faldas militares policías sacando ofensas prensa Así son cobardes pantalones darle cara ineptitud mediocridad,0
Ecuador es país destino tránsito personas necesitan protección internacional últimas dos décadas Ecuador ha acogido mayores poblaciones refugiados reconocidos América Latina mayoría vecina Colombia,0
personas refugiadas venezolanas Colombia,0
Podría ser vayan Venezuela Nicaragua allá creo también quieren,0
Señores SENASA indica favor tipo inmunización inmunógeno utilizan prevenir Encefalitis Equina Venezolana Igualmente información enfermedades exóticas bovinos mencionadas Tweet Gracias respuesta,0
dará entradas gratuitas refugiados ucranianos donará USD afectados invasión rusa país,0
Soy venezolana hablé colombiano explique detalle pasaria país ganaba socialismo pobres tienen tando deseo ser escuchados dieron poder menos indicado,0
Ojalá pase venezolanos regresen país luchar dejen estar opinando Colombia país tendió mano son desagradecidos,1
Jóvenes parias vendiendo frunas diciendo sandeces escuchan jóvenes venezolanos buses lastimosamente será así es tiempo ya pasa edad tiene cualidad llama paciencia pareciera q uds no supiesen clase,1
interesa compramos no dólar es veneco busque pais,1
Marica Venezolanos creen pueden opinar situación política país no queremos regalado partida hijueputas,1
No sabía ya había posesionado debe ser ya paso ya da órdenes fiscalía procuraduría alcaldes hasta ya restablecieron relaciones régimen Venezolano mejor dicho ya empezó régimen,0
noche única función Colectiva Mujeres Refugiadas Exiliadas Migradas proceso años investigación dentro línea trabajo Memoria Paz Gimanasio Moderno entrada libre Más info,0
pueblo no chamo sabemos son contratistas alcaldía,0
Ecuador diablos importa opinen comunistas Venezuela,1
ConectandoCaminosPorLosDerechos Circula cadena dirigida refugiados promete bono casi millones pesos ingresan enlace Cadena FALSA,0
no no denuncias protegidos Venezolanos delincuentes disfrasados refugiados indocumentados cobran dólares infiltrados paro hacen pasar indígenas,1
Entonces dime tiene hacer venezolano manifestación ecuatorianos vayan país sacar lacra presidente tienen,1
Detrás camioneta hay motorizados no tienen pinta campesinos más bien tienen pinta chamos,1
indígenas están ganando odio gente más estar alfombras ratas venezolanas,1
piensa vota señor trata Hp empleada no hacer ilícito después amenaza echarla equiparara virgen prostitutas dice venezolano no puede dar bala toca recibirlo sea verdad,1
Opinión va pasar agenda pendiente deja refugiados venezolanos va hacer tema experta RedDeVenezuela explica importancia ponerle atención agenda Va hilo,0
No sorprende gente especulando video chama quería fama no carrera comenzó only Ya perdí tipo fe gente pueblo bueno es digo soy san carlos sabe queda mierda,0
Ironías vida Venezolanos marchando sacar presidente Ecuador no país pasó aquí,1
Es puedo entender no justificar no pienso acento llevo orgullo xq no quiero dejar ser soy contrario creo trabajo es ser mismo empatizar No avergüenzo ser venezolana xq ocurre no es culpa,0
chama,0
Eso es indigna manera obligadamente traen cortan agua tienen pagar multas así casos más habrá pasen hambre exponiéndose,0
Repudiamos actos vandalicos responsabilizamos Bélgica refugiado no respetar cumplir leyes internacionales asisten negociaciones paz velarán bien ecuatorianos reparación económica inmediata,0
Señora vayan es bueno viene inversión cubana nicaragüense venezolana rusa Nunca,0
Naguara chamo ufff triunfo Petro ya está cambiando conchale vale,0
No está pasando últimamente siento acento extraño chamo Nawebona,0
vayas votar imagínate vida llevan hermanas Venezolanas acá Colombia gran mayoría trabaja burdeles así,1
claro patronal interesa gente mano delante detrás papeles hacinados infraviviendas construyen lado invernaderos miedo hambre es sentido Europa Fortaleza,0
Venezuela,0
año DíaMundialDeLasPersonasRefugiadas toca aún más cerca cabe ayudas personas refugiadas ven obligadas abandonar hogar Puedes conocer proyectos específicos aquí MarcarLaXesLoNormal,0
eres tan malagradecido chamo,0
venezolana viendo Colombianos deciden país sea destruido,0
selecciones Colombia Venezuela buscarán mañana medalla oro fútbol femenino Juegos Bolivarianos disputan Valledupar Colombia empate será campeón goles favor contra puntos,0
Uss Mengele atrevió tanto tan bonita tan facha es buena cagada papel blanco limpiarse ojete,0
Situación emocional persona refugiada es tu casa,0
Chamas cabro ayer marcha asquito no es Dios manas PrideMonth,0
Migración actividades conmemoración Día Mundial Refugiado Bogotá concentraron Soacha Kennedy Ciudad,0
conmemoración Día Internacional Refugiado llegamos botiquines móviles atención médica gratuita usuarios extranjeros especial niños fundación Haciendo Panas dentro programa movilidad humana farmasoltequierebien,0
Juegue chama juegue,0
también estan Venezolanos delincuentes disfrasados refugiados indocumentados apoya métidos paro cobrando actos terroristas deben anular regularización Venezolanos deportación inmediata,1
no es periodista escribió venezolanas dejarán parir final dice Francia no entendió es decir no ofrece disculpas expresó mal culpa es ser tan bruto no entender no note xenofobia racismo,0
Muy venezolana propuesta muy bolivarianos,0
Maestro somos millones dijimos NO TAPE SOL DEDO NO TOQUE BUSCAR TOLDA PARTE ECHARSE MALETA HOMBRO COMO VENECOS COBARDES ERRANTES MI GUERRILLERO PIROMANO NO REPRESENTA,1
TRAIDORES HIJUEPUTAS Dan asco,0
parece raro mujer venezolana empobrecida opere tetas quiera vivir sabroso Vea,0
Tranquilo quisieron VENECOS salario es dólares mes iguales miseria pasó eligieron Bestia Espera,0
campeón cuento sumerce primera edición PREMIOSTRIBUTOALLLANO UnionDeVoluntades dos países hermanos unen AbrazoLlanero cultura llanera WhatsApp,0
Vea Venezuela no estaba promesas Chávez México no estaba promesas amlo,0
Venecos queriendo dar opiniones jajajajja,1
era capacitado Ministro Hacienda dipsómano encargado satisfacer deseos Cuba Nicaragua Venezuela,0
Jornada positiva Colombia Venezuela Chile JuegosBolivarianos G,0
modelo ha mostrado bastante enamorada actor venezolano Gabriel Coronel,0
Alemania quedó economía mercado libre empresa seguridad jurídica términos he oído Venezuela cansancio supuestamente no cumplir normas tenemos más sanciones abre NUEVO frente,0
Hola soy colombiano t tengo razones primera relaciones ejercito petro seran tensAs ejercito colombiano ha combatido ultimos años guerrilla oligarquía colombiana es distinta venezolana hace años crearon auc,0
vida medios fue fundamental pasó Grupo Empresas Dónde aprendí mucho excelente difícil implica ser venezolano siento agradecido aprender correcto coexiste injusto fin feliz día periodista,0
vengo diciendo quieten elmpoder elegidos presindete quieren imponer ahí tiene facha venecos no permitir rompa democracias terrorista,1
lucha social es pacífica hemos vivido es total vandalismo indígenas mano venezolanos,1
Ahora son indígenas venezolanos favor más empatía,1
