modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.7080745341614907, 'recall': 0.57, 'f1-score': 0.631578947368421, 'support': 200.0}, 'No': {'precision': 0.8404452690166976, 'recall': 0.906, 'f1-score': 0.8719923002887392, 'support': 500.0}, 'accuracy': 0.81, 'macro avg': {'precision': 0.7742599015890941, 'recall': 0.738, 'f1-score': 0.75178562382858, 'support': 700.0}, 'weighted avg': {'precision': 0.802625059058067, 'recall': 0.81, 'f1-score': 0.803302770882934, 'support': 700.0}}",0.81,0.75178562382858,0.7742599015890941,0.738,0.803302770882934,"[0.7171717171717171, 0.6909227820372399, 0.7194295066635492, 0.6888888888888889, 0.7569444444444444]",0.714671467841168,0.024676451065319568
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.7936507936507936, 'recall': 0.5, 'f1-score': 0.6134969325153374, 'support': 200.0}, 'No': {'precision': 0.8257839721254355, 'recall': 0.948, 'f1-score': 0.88268156424581, 'support': 500.0}, 'accuracy': 0.82, 'macro avg': {'precision': 0.8097173828881146, 'recall': 0.724, 'f1-score': 0.7480892483805737, 'support': 700.0}, 'weighted avg': {'precision': 0.8166030639898235, 'recall': 0.82, 'f1-score': 0.8057716694656749, 'support': 700.0}}",0.82,0.7480892483805737,0.8097173828881146,0.724,0.8057716694656749,"[0.7075616209441582, 0.666618559676721, 0.6902546093064091, 0.6719191919191919, 0.77112484175756]",0.7014957647208081,0.03768967934631324
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.6802325581395349, 'recall': 0.585, 'f1-score': 0.6290322580645161, 'support': 200.0}, 'No': {'precision': 0.8428030303030303, 'recall': 0.89, 'f1-score': 0.8657587548638133, 'support': 500.0}, 'accuracy': 0.8028571428571428, 'macro avg': {'precision': 0.7615177942212825, 'recall': 0.7375, 'f1-score': 0.7473955064641646, 'support': 700.0}, 'weighted avg': {'precision': 0.796354323970603, 'recall': 0.8028571428571428, 'f1-score': 0.798122612921157, 'support': 700.0}}",0.8028571428571428,0.7473955064641646,0.7615177942212825,0.7375,0.798122612921157,"[0.7299382716049383, 0.6776562822364349, 0.7299382716049383, 0.7135443206672991, 0.7645870009710194]",0.723132829416926,0.02818202359478844
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.6629834254143646, 'recall': 0.6, 'f1-score': 0.6299212598425197, 'support': 200.0}, 'No': {'precision': 0.8458574181117534, 'recall': 0.878, 'f1-score': 0.8616290480863592, 'support': 500.0}, 'accuracy': 0.7985714285714286, 'macro avg': {'precision': 0.754420421763059, 'recall': 0.739, 'f1-score': 0.7457751539644395, 'support': 700.0}, 'weighted avg': {'precision': 0.7936077059124994, 'recall': 0.7985714285714286, 'f1-score': 0.7954268228738337, 'support': 700.0}}",0.7985714285714286,0.7457751539644395,0.754420421763059,0.739,0.7954268228738337,"[0.5593042495661649, 0.5879913363571907, 0.6083823875676948, 0.5828275024831696, 0.6185507246376811]",0.5914112401223802,0.020692059354089073
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.6647398843930635, 'recall': 0.575, 'f1-score': 0.6166219839142091, 'support': 200.0}, 'No': {'precision': 0.8387096774193549, 'recall': 0.884, 'f1-score': 0.8607594936708861, 'support': 500.0}, 'accuracy': 0.7957142857142857, 'macro avg': {'precision': 0.7517247809062092, 'recall': 0.7295, 'f1-score': 0.7386907387925477, 'support': 700.0}, 'weighted avg': {'precision': 0.7890040222689859, 'recall': 0.7957142857142857, 'f1-score': 0.7910059194546927, 'support': 700.0}}",0.7957142857142857,0.7386907387925477,0.7517247809062092,0.7295,0.7910059194546927,"[0.7544666095410464, 0.689257176679491, 0.7434413580246914, 0.724375, 0.7488907769281601]",0.7320861842346778,0.023689677054584683
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.6942675159235668, 'recall': 0.545, 'f1-score': 0.6106442577030813, 'support': 200.0}, 'No': {'precision': 0.8324125230202578, 'recall': 0.904, 'f1-score': 0.8667305848513902, 'support': 500.0}, 'accuracy': 0.8014285714285714, 'macro avg': {'precision': 0.7633400194719123, 'recall': 0.7245, 'f1-score': 0.7386874212772357, 'support': 700.0}, 'weighted avg': {'precision': 0.7929425209926317, 'recall': 0.8014285714285714, 'f1-score': 0.7935630628090161, 'support': 700.0}}",0.8014285714285714,0.7386874212772357,0.7633400194719123,0.7245,0.7935630628090161,"[0.695959595959596, 0.6687783275992062, 0.6810603707155432, 0.6732488920357695, 0.7652165334911709]",0.6968527439602571,0.03540937493027885
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.655367231638418, 'recall': 0.58, 'f1-score': 0.6153846153846154, 'support': 200.0}, 'No': {'precision': 0.8393881453154876, 'recall': 0.878, 'f1-score': 0.8582600195503421, 'support': 500.0}, 'accuracy': 0.7928571428571428, 'macro avg': {'precision': 0.7473776884769527, 'recall': 0.729, 'f1-score': 0.7368223174674788, 'support': 700.0}, 'weighted avg': {'precision': 0.7868107414077534, 'recall': 0.7928571428571428, 'f1-score': 0.7888670469315631, 'support': 700.0}}",0.7928571428571428,0.7368223174674788,0.7473776884769527,0.729,0.7888670469315631,"[0.7359349593495934, 0.7160797981011897, 0.7428496457622671, 0.7055826558265583, 0.7328454319999429]",0.7266584982079103,0.013730143249206307
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.7804878048780488, 'recall': 0.48, 'f1-score': 0.5944272445820433, 'support': 200.0}, 'No': {'precision': 0.8197573656845754, 'recall': 0.946, 'f1-score': 0.8783658310120706, 'support': 500.0}, 'accuracy': 0.8128571428571428, 'macro avg': {'precision': 0.8001225852813121, 'recall': 0.713, 'f1-score': 0.7363965377970569, 'support': 700.0}, 'weighted avg': {'precision': 0.8085374911684249, 'recall': 0.8128571428571428, 'f1-score': 0.7972405206034913, 'support': 700.0}}",0.8128571428571428,0.7363965377970569,0.8001225852813121,0.713,0.7972405206034913,"[0.7004511278195489, 0.6823589077417231, 0.6846734117478818, 0.6536506239182246, 0.7479694723586237]",0.6938207087172004,0.03099913772210696
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.7152777777777778, 'recall': 0.515, 'f1-score': 0.5988372093023255, 'support': 200.0}, 'No': {'precision': 0.8255395683453237, 'recall': 0.918, 'f1-score': 0.8693181818181818, 'support': 500.0}, 'accuracy': 0.8028571428571428, 'macro avg': {'precision': 0.7704086730615507, 'recall': 0.7165, 'f1-score': 0.7340776955602537, 'support': 700.0}, 'weighted avg': {'precision': 0.7940361996117391, 'recall': 0.8028571428571428, 'f1-score': 0.7920379039565085, 'support': 700.0}}",0.8028571428571428,0.7340776955602537,0.7704086730615507,0.7165,0.7920379039565085,"[0.695959595959596, 0.6833375219904498, 0.6981106243154436, 0.6777749362869161, 0.76777388075098]",0.7045913118606771,0.032494259261582094
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Lematizacion,None,"{'Clickbait': {'precision': 0.6514285714285715, 'recall': 0.57, 'f1-score': 0.608, 'support': 200.0}, 'No': {'precision': 0.8361904761904762, 'recall': 0.878, 'f1-score': 0.8565853658536585, 'support': 500.0}, 'accuracy': 0.79, 'macro avg': {'precision': 0.7438095238095238, 'recall': 0.724, 'f1-score': 0.7322926829268293, 'support': 700.0}, 'weighted avg': {'precision': 0.7834013605442177, 'recall': 0.79, 'f1-score': 0.7855609756097561, 'support': 700.0}}",0.79,0.7322926829268293,0.7438095238095238,0.724,0.7855609756097561,"[0.6847670016969064, 0.7221052631578948, 0.6955576265921093, 0.6955576265921093, 0.7712920293565455]",0.713855909479113,0.031249891429826676
