modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.8360655737704918, 'recall': 0.51, 'f1-score': 0.6335403726708074, 'support': 200.0}, 'No': {'precision': 0.8304498269896193, 'recall': 0.96, 'f1-score': 0.8905380333951762, 'support': 500.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.8332577003800556, 'recall': 0.735, 'f1-score': 0.7620392030329919, 'support': 700.0}, 'weighted avg': {'precision': 0.8320543260698686, 'recall': 0.8314285714285714, 'f1-score': 0.8171101303310709, 'support': 700.0}}",0.8314285714285714,0.7620392030329919,0.8332577003800556,0.735,0.8171101303310709,"[0.7028062545303925, 0.666618559676721, 0.676057924794828, 0.6643771043771044, 0.7393333857813442]",0.6898386458320779,0.028267504044857363
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.7080745341614907, 'recall': 0.57, 'f1-score': 0.631578947368421, 'support': 200.0}, 'No': {'precision': 0.8404452690166976, 'recall': 0.906, 'f1-score': 0.8719923002887392, 'support': 500.0}, 'accuracy': 0.81, 'macro avg': {'precision': 0.7742599015890941, 'recall': 0.738, 'f1-score': 0.75178562382858, 'support': 700.0}, 'weighted avg': {'precision': 0.802625059058067, 'recall': 0.81, 'f1-score': 0.803302770882934, 'support': 700.0}}",0.81,0.75178562382858,0.7742599015890941,0.738,0.803302770882934,"[0.7171717171717171, 0.6909227820372399, 0.7194295066635492, 0.6888888888888889, 0.7569444444444444]",0.714671467841168,0.024676451065319568
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6802325581395349, 'recall': 0.585, 'f1-score': 0.6290322580645161, 'support': 200.0}, 'No': {'precision': 0.8428030303030303, 'recall': 0.89, 'f1-score': 0.8657587548638133, 'support': 500.0}, 'accuracy': 0.8028571428571428, 'macro avg': {'precision': 0.7615177942212825, 'recall': 0.7375, 'f1-score': 0.7473955064641646, 'support': 700.0}, 'weighted avg': {'precision': 0.796354323970603, 'recall': 0.8028571428571428, 'f1-score': 0.798122612921157, 'support': 700.0}}",0.8028571428571428,0.7473955064641646,0.7615177942212825,0.7375,0.798122612921157,"[0.7299382716049383, 0.6776562822364349, 0.7299382716049383, 0.7135443206672991, 0.7645870009710194]",0.723132829416926,0.02818202359478844
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6629834254143646, 'recall': 0.6, 'f1-score': 0.6299212598425197, 'support': 200.0}, 'No': {'precision': 0.8458574181117534, 'recall': 0.878, 'f1-score': 0.8616290480863592, 'support': 500.0}, 'accuracy': 0.7985714285714286, 'macro avg': {'precision': 0.754420421763059, 'recall': 0.739, 'f1-score': 0.7457751539644395, 'support': 700.0}, 'weighted avg': {'precision': 0.7936077059124994, 'recall': 0.7985714285714286, 'f1-score': 0.7954268228738337, 'support': 700.0}}",0.7985714285714286,0.7457751539644395,0.754420421763059,0.739,0.7954268228738337,"[0.5593042495661649, 0.5879913363571907, 0.6083823875676948, 0.5828275024831696, 0.6185507246376811]",0.5914112401223802,0.020692059354089073
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.7171052631578947, 'recall': 0.545, 'f1-score': 0.6193181818181818, 'support': 200.0}, 'No': {'precision': 0.833941605839416, 'recall': 0.914, 'f1-score': 0.8721374045801527, 'support': 500.0}, 'accuracy': 0.8085714285714286, 'macro avg': {'precision': 0.7755234344986554, 'recall': 0.7295, 'f1-score': 0.7457277931991673, 'support': 700.0}, 'weighted avg': {'precision': 0.8005597936446955, 'recall': 0.8085714285714286, 'f1-score': 0.7999033409338753, 'support': 700.0}}",0.8085714285714286,0.7457277931991673,0.7755234344986554,0.7295,0.7999033409338753,"[0.695959595959596, 0.671006823562178, 0.671578947368421, 0.6828797190517999, 0.76777388075098]",0.6978397933385949,0.036132411613798585
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.782258064516129, 'recall': 0.485, 'f1-score': 0.5987654320987654, 'support': 200.0}, 'No': {'precision': 0.8211805555555556, 'recall': 0.946, 'f1-score': 0.879182156133829, 'support': 500.0}, 'accuracy': 0.8142857142857143, 'macro avg': {'precision': 0.8017193100358423, 'recall': 0.7155, 'f1-score': 0.7389737941162973, 'support': 700.0}, 'weighted avg': {'precision': 0.8100598438300051, 'recall': 0.8142857142857143, 'f1-score': 0.7990630921238109, 'support': 700.0}}",0.8142857142857143,0.7389737941162973,0.8017193100358423,0.7155,0.7990630921238109,"[0.6955576265921093, 0.6643771043771044, 0.6851824090159525, 0.6703674635578797, 0.7615150806640169]",0.6953999368414125,0.034827218770394214
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6647398843930635, 'recall': 0.575, 'f1-score': 0.6166219839142091, 'support': 200.0}, 'No': {'precision': 0.8387096774193549, 'recall': 0.884, 'f1-score': 0.8607594936708861, 'support': 500.0}, 'accuracy': 0.7957142857142857, 'macro avg': {'precision': 0.7517247809062092, 'recall': 0.7295, 'f1-score': 0.7386907387925477, 'support': 700.0}, 'weighted avg': {'precision': 0.7890040222689859, 'recall': 0.7957142857142857, 'f1-score': 0.7910059194546927, 'support': 700.0}}",0.7957142857142857,0.7386907387925477,0.7517247809062092,0.7295,0.7910059194546927,"[0.7544666095410464, 0.689257176679491, 0.7434413580246914, 0.724375, 0.7488907769281601]",0.7320861842346778,0.023689677054584683
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.655367231638418, 'recall': 0.58, 'f1-score': 0.6153846153846154, 'support': 200.0}, 'No': {'precision': 0.8393881453154876, 'recall': 0.878, 'f1-score': 0.8582600195503421, 'support': 500.0}, 'accuracy': 0.7928571428571428, 'macro avg': {'precision': 0.7473776884769527, 'recall': 0.729, 'f1-score': 0.7368223174674788, 'support': 700.0}, 'weighted avg': {'precision': 0.7868107414077534, 'recall': 0.7928571428571428, 'f1-score': 0.7888670469315631, 'support': 700.0}}",0.7928571428571428,0.7368223174674788,0.7473776884769527,0.729,0.7888670469315631,"[0.7359349593495934, 0.7160797981011897, 0.7428496457622671, 0.7055826558265583, 0.7328454319999429]",0.7266584982079103,0.013730143249206307
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6790123456790124, 'recall': 0.55, 'f1-score': 0.6077348066298343, 'support': 200.0}, 'No': {'precision': 0.8327137546468402, 'recall': 0.896, 'f1-score': 0.8631984585741811, 'support': 500.0}, 'accuracy': 0.7971428571428572, 'macro avg': {'precision': 0.7558630501629262, 'recall': 0.7230000000000001, 'f1-score': 0.7354666326020076, 'support': 700.0}, 'weighted avg': {'precision': 0.7887990663703179, 'recall': 0.7971428571428572, 'f1-score': 0.7902088437329392, 'support': 700.0}}",0.7971428571428572,0.7354666326020076,0.7558630501629262,0.7230000000000001,0.7902088437329392,"[0.6888888888888889, 0.6833375219904498, 0.6863437319664618, 0.6651785714285714, 0.76777388075098]",0.6983045190050703,0.03571847180641511
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6627218934911243, 'recall': 0.56, 'f1-score': 0.6070460704607046, 'support': 200.0}, 'No': {'precision': 0.8342749529190208, 'recall': 0.886, 'f1-score': 0.8593598448108632, 'support': 500.0}, 'accuracy': 0.7928571428571428, 'macro avg': {'precision': 0.7484984232050725, 'recall': 0.7230000000000001, 'f1-score': 0.7332029576357839, 'support': 700.0}, 'weighted avg': {'precision': 0.785259793082479, 'recall': 0.7928571428571428, 'f1-score': 0.7872701949965322, 'support': 700.0}}",0.7928571428571428,0.7332029576357839,0.7484984232050725,0.7230000000000001,0.7872701949965322,"[0.6801270974768858, 0.7173035104069587, 0.7124722149443454, 0.6978967163816936, 0.7807074794413262]",0.7177014037302419,0.03406265533501725
