modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.8275862068965517, 'recall': 0.48, 'f1-score': 0.6075949367088608, 'support': 200.0}, 'No': {'precision': 0.821917808219178, 'recall': 0.96, 'f1-score': 0.8856088560885609, 'support': 500.0}, 'accuracy': 0.8228571428571428, 'macro avg': {'precision': 0.8247520075578649, 'recall': 0.72, 'f1-score': 0.7466018963987109, 'support': 700.0}, 'weighted avg': {'precision': 0.8235373506984277, 'recall': 0.8228571428571428, 'f1-score': 0.8061763076943609, 'support': 700.0}}",0.8228571428571428,0.7466018963987109,0.8247520075578649,0.72,0.8061763076943609,"[0.7544666095410464, 0.689257176679491, 0.7434413580246914, 0.724375, 0.7488907769281601]",0.7320861842346778,0.023689677054584683
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6666666666666666, 'recall': 0.58, 'f1-score': 0.6203208556149733, 'support': 200.0}, 'No': {'precision': 0.8403041825095057, 'recall': 0.884, 'f1-score': 0.8615984405458089, 'support': 500.0}, 'accuracy': 0.7971428571428572, 'macro avg': {'precision': 0.7534854245880862, 'recall': 0.732, 'f1-score': 0.740959648080391, 'support': 700.0}, 'weighted avg': {'precision': 0.790693463697266, 'recall': 0.7971428571428572, 'f1-score': 0.7926619877084273, 'support': 700.0}}",0.7971428571428572,0.740959648080391,0.7534854245880862,0.732,0.7926619877084273,"[0.7359349593495934, 0.7160797981011897, 0.7428496457622671, 0.7055826558265583, 0.7328454319999429]",0.7266584982079103,0.013730143249206307
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.776, 'recall': 0.485, 'f1-score': 0.5969230769230769, 'support': 200.0}, 'No': {'precision': 0.8208695652173913, 'recall': 0.944, 'f1-score': 0.878139534883721, 'support': 500.0}, 'accuracy': 0.8128571428571428, 'macro avg': {'precision': 0.7984347826086957, 'recall': 0.7144999999999999, 'f1-score': 0.737531305903399, 'support': 700.0}, 'weighted avg': {'precision': 0.8080496894409939, 'recall': 0.8128571428571428, 'f1-score': 0.7977919754663941, 'support': 700.0}}",0.8128571428571428,0.737531305903399,0.7984347826086957,0.7144999999999999,0.7977919754663941,"[0.7299382716049383, 0.6776562822364349, 0.7299382716049383, 0.7135443206672991, 0.7645870009710194]",0.723132829416926,0.02818202359478844
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.6373626373626373, 'recall': 0.58, 'f1-score': 0.6073298429319371, 'support': 200.0}, 'No': {'precision': 0.8378378378378378, 'recall': 0.868, 'f1-score': 0.8526522593320236, 'support': 500.0}, 'accuracy': 0.7857142857142857, 'macro avg': {'precision': 0.7376002376002375, 'recall': 0.724, 'f1-score': 0.7299910511319804, 'support': 700.0}, 'weighted avg': {'precision': 0.7805592091306377, 'recall': 0.7857142857142857, 'f1-score': 0.7825601403605703, 'support': 700.0}}",0.7857142857142857,0.7299910511319804,0.7376002376002375,0.724,0.7825601403605703,"[0.7066154898197781, 0.709320930232558, 0.7251450378311606, 0.68307809501908, 0.7266830404937339]",0.7101685186792622,0.015775037438987664
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.8365384615384616, 'recall': 0.435, 'f1-score': 0.5723684210526315, 'support': 200.0}, 'No': {'precision': 0.8104026845637584, 'recall': 0.966, 'f1-score': 0.8813868613138686, 'support': 500.0}, 'accuracy': 0.8142857142857143, 'macro avg': {'precision': 0.82347057305111, 'recall': 0.7005, 'f1-score': 0.72687764118325, 'support': 700.0}, 'weighted avg': {'precision': 0.8178700494136735, 'recall': 0.8142857142857143, 'f1-score': 0.7930958783820865, 'support': 700.0}}",0.8142857142857143,0.72687764118325,0.82347057305111,0.7005,0.7930958783820865,"[0.7171717171717171, 0.6909227820372399, 0.7194295066635492, 0.6888888888888889, 0.7569444444444444]",0.714671467841168,0.024676451065319568
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.898876404494382, 'recall': 0.4, 'f1-score': 0.5536332179930796, 'support': 200.0}, 'No': {'precision': 0.8036006546644845, 'recall': 0.982, 'f1-score': 0.8838883888388839, 'support': 500.0}, 'accuracy': 0.8157142857142857, 'macro avg': {'precision': 0.8512385295794332, 'recall': 0.6910000000000001, 'f1-score': 0.7187608034159818, 'support': 700.0}, 'weighted avg': {'precision': 0.8308222974730266, 'recall': 0.8157142857142857, 'f1-score': 0.7895297685972256, 'support': 700.0}}",0.8157142857142857,0.7187608034159818,0.8512385295794332,0.6910000000000001,0.7895297685972256,"[0.6726190476190477, 0.6851824090159525, 0.6955576265921093, 0.6696578599263523, 0.7640825291962541]",0.6974198944699432,0.03459174331270427
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.8709677419354839, 'recall': 0.405, 'f1-score': 0.552901023890785, 'support': 200.0}, 'No': {'precision': 0.8039538714991763, 'recall': 0.976, 'f1-score': 0.8816621499548328, 'support': 500.0}, 'accuracy': 0.8128571428571428, 'macro avg': {'precision': 0.8374608067173301, 'recall': 0.6905, 'f1-score': 0.7172815869228089, 'support': 700.0}, 'weighted avg': {'precision': 0.8231006916238357, 'recall': 0.8128571428571428, 'f1-score': 0.787730399650819, 'support': 700.0}}",0.8128571428571428,0.7172815869228089,0.8374608067173301,0.6905,0.787730399650819,"[0.7172584809673543, 0.666618559676721, 0.6846734117478818, 0.6696578599263523, 0.7479694723586237]",0.6972355569353865,0.031082422833921132
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.83, 'recall': 0.415, 'f1-score': 0.5533333333333333, 'support': 200.0}, 'No': {'precision': 0.805, 'recall': 0.966, 'f1-score': 0.8781818181818182, 'support': 500.0}, 'accuracy': 0.8085714285714286, 'macro avg': {'precision': 0.8175, 'recall': 0.6905, 'f1-score': 0.7157575757575758, 'support': 700.0}, 'weighted avg': {'precision': 0.8121428571428572, 'recall': 0.8085714285714286, 'f1-score': 0.7853679653679654, 'support': 700.0}}",0.8085714285714286,0.7157575757575758,0.8175,0.6905,0.7853679653679654,"[0.7101010101010101, 0.7002506614677622, 0.7052984665936473, 0.6949404761904762, 0.7474865559971943]",0.711615434070018,0.018634093607982422
naive_bayes,frecuencia,"(1, 1)",{},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.7156862745098039, 'recall': 0.365, 'f1-score': 0.48344370860927155, 'support': 200.0}, 'No': {'precision': 0.7876254180602007, 'recall': 0.942, 'f1-score': 0.8579234972677595, 'support': 500.0}, 'accuracy': 0.7771428571428571, 'macro avg': {'precision': 0.7516558462850023, 'recall': 0.6535, 'f1-score': 0.6706836029385155, 'support': 700.0}, 'weighted avg': {'precision': 0.7670713770458016, 'recall': 0.7771428571428571, 'f1-score': 0.750929271936763, 'support': 700.0}}",0.7771428571428571,0.6706836029385155,0.7516558462850023,0.6535,0.750929271936763,"[0.6422726209960252, 0.6282706766917293, 0.679574778460584, 0.6334200438116101, 0.6291314214978337]",0.6425339082915564,0.01917406210282322
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.788235294117647, 'recall': 0.335, 'f1-score': 0.47017543859649125, 'support': 200.0}, 'No': {'precision': 0.7837398373983739, 'recall': 0.964, 'f1-score': 0.8645739910313901, 'support': 500.0}, 'accuracy': 0.7842857142857143, 'macro avg': {'precision': 0.7859875657580104, 'recall': 0.6495, 'f1-score': 0.6673747148139406, 'support': 700.0}, 'weighted avg': {'precision': 0.7850242536038805, 'recall': 0.7842857142857143, 'f1-score': 0.7518886903357046, 'support': 700.0}}",0.7842857142857143,0.6673747148139406,0.7859875657580104,0.6495,0.7518886903357046,"[0.6843581949964929, 0.638630377524144, 0.6211574541780921, 0.6401926291888115, 0.6814684152670195]",0.653161414230912,0.02521158190236404
naive_bayes,binaria,"(1, 1)",{},Solo Lematizacion,None,"{'Clickbait': {'precision': 0.7368421052631579, 'recall': 0.35, 'f1-score': 0.4745762711864407, 'support': 200.0}, 'No': {'precision': 0.7851239669421488, 'recall': 0.95, 'f1-score': 0.8597285067873304, 'support': 500.0}, 'accuracy': 0.7785714285714286, 'macro avg': {'precision': 0.7609830361026533, 'recall': 0.6499999999999999, 'f1-score': 0.6671523889868856, 'support': 700.0}, 'weighted avg': {'precision': 0.77132914931958, 'recall': 0.7785714285714286, 'f1-score': 0.7496850109013619, 'support': 700.0}}",0.7785714285714286,0.6671523889868856,0.7609830361026533,0.6499999999999999,0.7496850109013619,"[0.6514055282153606, 0.6354166666666666, 0.6528363627067515, 0.6303199751475613, 0.6385203364266175]",0.6416997738325916,0.00891416127158941
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'Clickbait': {'precision': 0.84, 'recall': 0.315, 'f1-score': 0.4581818181818182, 'support': 200.0}, 'No': {'precision': 0.7808, 'recall': 0.976, 'f1-score': 0.8675555555555555, 'support': 500.0}, 'accuracy': 0.7871428571428571, 'macro avg': {'precision': 0.8104, 'recall': 0.6455, 'f1-score': 0.6628686868686868, 'support': 700.0}, 'weighted avg': {'precision': 0.7977142857142858, 'recall': 0.7871428571428571, 'f1-score': 0.7505916305916307, 'support': 700.0}}",0.7871428571428571,0.6628686868686868,0.8104,0.6455,0.7505916305916307,"[0.6720866288740284, 0.6384264755190256, 0.6232023271198267, 0.6079781787206278, 0.6755048287971905]",0.6434396878061398,0.02661211074277461
